,LocationAbbr,LocationDesc,LocationID,Topic,TopicID,YearStart,YearEnd,StratificationCategoryID1,StratificationID1,Question,QuestionID,DataValueType,DataValueTypeID,DataValueUnit,LowConfidenceLimit,HighConfidenceLimit,DataValueAlt,Location Abbr,Hospital Number,Population,Incidence,Mortality
14,AK,Alaska,2,Arthritis,ART,2014,2014,OVERALL,OVR,arthritis among adults aged >= 18 years,ART1_1,Crude Prevalence,CRDPREV,%,20.4,23.5,21.9,AK,11.0,733406.0,22.57,22.57
15,AK,Alaska,2,Arthritis,ART,2015,2015,OVERALL,OVR,arthritis among adults aged >= 18 years,ART1_1,Crude Prevalence,CRDPREV,%,19.3,23.2,21.2,AK,11.0,733406.0,22.57,22.57
16,AK,Alaska,2,Arthritis,ART,2016,2016,OVERALL,OVR,arthritis among adults aged >= 18 years,ART1_1,Crude Prevalence,CRDPREV,%,21.5,26.4,23.9,AK,11.0,733406.0,22.57,22.57
17,AK,Alaska,2,Arthritis,ART,2017,2017,OVERALL,OVR,arthritis among adults aged >= 18 years,ART1_1,Crude Prevalence,CRDPREV,%,20.2,24.6,22.3,AK,11.0,733406.0,22.57,22.57
18,AK,Alaska,2,Arthritis,ART,2018,2018,OVERALL,OVR,arthritis among adults aged >= 18 years,ART1_1,Crude Prevalence,CRDPREV,%,21.5,25.6,23.5,AK,11.0,733406.0,22.57,22.57
19,AK,Alaska,2,Arthritis,ART,2019,2019,OVERALL,OVR,arthritis among adults aged >= 18 years,ART1_1,Crude Prevalence,CRDPREV,%,19.6,23.7,21.6,AK,11.0,733406.0,22.57,22.57
20,AK,Alaska,2,Arthritis,ART,2020,2020,OVERALL,OVR,arthritis among adults aged >= 18 years,ART1_1,Crude Prevalence,CRDPREV,%,19.7,23.5,21.6,AK,11.0,733406.0,22.57,22.57
21,AK,Alaska,2,Arthritis,ART,2021,2021,OVERALL,OVR,arthritis among adults aged >= 18 years,ART1_1,Crude Prevalence,CRDPREV,%,21.9,25.0,23.4,AK,11.0,733406.0,22.57,22.57
22,AK,Alaska,2,Asthma,AST,2011,2011,OVERALL,OVR,current asthma prevalence among adults aged >= 18 years,AST1_1,Crude Prevalence,CRDPREV,%,7.0,9.5,8.2,AK,11.0,733406.0,9.14,9.14
23,AK,Alaska,2,Asthma,AST,2012,2012,OVERALL,OVR,current asthma prevalence among adults aged >= 18 years,AST1_1,Crude Prevalence,CRDPREV,%,7.9,10.3,9.0,AK,11.0,733406.0,9.14,9.14
24,AK,Alaska,2,Asthma,AST,2013,2013,OVERALL,OVR,current asthma prevalence among adults aged >= 18 years,AST1_1,Crude Prevalence,CRDPREV,%,8.0,10.7,9.3,AK,11.0,733406.0,9.14,9.14
25,AK,Alaska,2,Asthma,AST,2014,2014,OVERALL,OVR,current asthma prevalence among adults aged >= 18 years,AST1_1,Crude Prevalence,CRDPREV,%,7.0,9.4,8.1,AK,11.0,733406.0,9.14,9.14
26,AK,Alaska,2,Asthma,AST,2015,2015,OVERALL,OVR,current asthma prevalence among adults aged >= 18 years,AST1_1,Crude Prevalence,CRDPREV,%,7.7,11.1,9.2,AK,11.0,733406.0,9.14,9.14
27,AK,Alaska,2,Asthma,AST,2016,2016,OVERALL,OVR,current asthma prevalence among adults aged >= 18 years,AST1_1,Crude Prevalence,CRDPREV,%,7.2,10.6,8.8,AK,11.0,733406.0,9.14,9.14
28,AK,Alaska,2,Asthma,AST,2017,2017,OVERALL,OVR,current asthma prevalence among adults aged >= 18 years,AST1_1,Crude Prevalence,CRDPREV,%,6.9,10.3,8.4,AK,11.0,733406.0,9.14,9.14
29,AK,Alaska,2,Asthma,AST,2018,2018,OVERALL,OVR,current asthma prevalence among adults aged >= 18 years,AST1_1,Crude Prevalence,CRDPREV,%,7.8,10.8,9.2,AK,11.0,733406.0,9.14,9.14
30,AK,Alaska,2,Asthma,AST,2019,2019,OVERALL,OVR,current asthma prevalence among adults aged >= 18 years,AST1_1,Crude Prevalence,CRDPREV,%,8.2,11.8,9.9,AK,11.0,733406.0,9.14,9.14
31,AK,Alaska,2,Asthma,AST,2020,2020,OVERALL,OVR,current asthma prevalence among adults aged >= 18 years,AST1_1,Crude Prevalence,CRDPREV,%,7.4,10.5,8.9,AK,11.0,733406.0,9.14,9.14
32,AK,Alaska,2,Asthma,AST,2021,2021,OVERALL,OVR,current asthma prevalence among adults aged >= 18 years,AST1_1,Crude Prevalence,CRDPREV,%,7.9,10.2,9.0,AK,11.0,733406.0,9.14,9.14
33,AK,Alaska,2,Chronic Kidney Disease,CKD,2011,2011,OVERALL,OVR,prevalence of chronic kidney disease among adults aged >= 18 years,CKD3_0,Crude Prevalence,CRDPREV,%,1.7,3.1,2.3,AK,11.0,733406.0,2.2,2.2
34,AK,Alaska,2,Chronic Kidney Disease,CKD,2012,2012,OVERALL,OVR,prevalence of chronic kidney disease among adults aged >= 18 years,CKD3_0,Crude Prevalence,CRDPREV,%,1.7,2.8,2.2,AK,11.0,733406.0,2.2,2.2
35,AK,Alaska,2,Chronic Kidney Disease,CKD,2013,2013,OVERALL,OVR,prevalence of chronic kidney disease among adults aged >= 18 years,CKD3_0,Crude Prevalence,CRDPREV,%,1.3,2.3,1.7,AK,11.0,733406.0,2.2,2.2
36,AK,Alaska,2,Chronic Kidney Disease,CKD,2014,2014,OVERALL,OVR,prevalence of chronic kidney disease among adults aged >= 18 years,CKD3_0,Crude Prevalence,CRDPREV,%,1.6,2.9,2.1,AK,11.0,733406.0,2.2,2.2
37,AK,Alaska,2,Chronic Kidney Disease,CKD,2015,2015,OVERALL,OVR,prevalence of chronic kidney disease among adults aged >= 18 years,CKD3_0,Crude Prevalence,CRDPREV,%,1.3,2.6,1.8,AK,11.0,733406.0,2.2,2.2
38,AK,Alaska,2,Chronic Kidney Disease,CKD,2016,2016,OVERALL,OVR,prevalence of chronic kidney disease among adults aged >= 18 years,CKD3_0,Crude Prevalence,CRDPREV,%,1.5,3.4,2.3,AK,11.0,733406.0,2.2,2.2
39,AK,Alaska,2,Chronic Kidney Disease,CKD,2017,2017,OVERALL,OVR,prevalence of chronic kidney disease among adults aged >= 18 years,CKD3_0,Crude Prevalence,CRDPREV,%,1.4,2.8,2.0,AK,11.0,733406.0,2.2,2.2
40,AK,Alaska,2,Chronic Kidney Disease,CKD,2018,2018,OVERALL,OVR,prevalence of chronic kidney disease among adults aged >= 18 years,CKD3_0,Crude Prevalence,CRDPREV,%,1.9,3.4,2.5,AK,11.0,733406.0,2.2,2.2
41,AK,Alaska,2,Chronic Kidney Disease,CKD,2019,2019,OVERALL,OVR,prevalence of chronic kidney disease among adults aged >= 18 years,CKD3_0,Crude Prevalence,CRDPREV,%,1.4,2.5,1.8,AK,11.0,733406.0,2.2,2.2
42,AK,Alaska,2,Chronic Kidney Disease,CKD,2020,2020,OVERALL,OVR,prevalence of chronic kidney disease among adults aged >= 18 years,CKD3_0,Crude Prevalence,CRDPREV,%,1.4,2.5,1.9,AK,11.0,733406.0,2.2,2.2
43,AK,Alaska,2,Chronic Kidney Disease,CKD,2021,2021,OVERALL,OVR,prevalence of chronic kidney disease among adults aged >= 18 years,CKD3_0,Crude Prevalence,CRDPREV,%,2.0,3.0,2.5,AK,11.0,733406.0,2.2,2.2
44,AK,Alaska,2,Chronic Obstructive Pulmonary Disease,COPD,2011,2011,OVERALL,OVR,prevalence of chronic obstructive pulmonary disease among adults >= 18,COPD2_0,Crude Prevalence,CRDPREV,%,4.3,6.3,5.2,AK,11.0,733406.0,5.29,5.29
45,AK,Alaska,2,Chronic Obstructive Pulmonary Disease,COPD,2012,2012,OVERALL,OVR,prevalence of chronic obstructive pulmonary disease among adults >= 18,COPD2_0,Crude Prevalence,CRDPREV,%,4.3,6.0,5.1,AK,11.0,733406.0,5.29,5.29
46,AK,Alaska,2,Chronic Obstructive Pulmonary Disease,COPD,2013,2013,OVERALL,OVR,prevalence of chronic obstructive pulmonary disease among adults >= 18,COPD2_0,Crude Prevalence,CRDPREV,%,4.6,6.6,5.5,AK,11.0,733406.0,5.29,5.29
47,AK,Alaska,2,Chronic Obstructive Pulmonary Disease,COPD,2014,2014,OVERALL,OVR,prevalence of chronic obstructive pulmonary disease among adults >= 18,COPD2_0,Crude Prevalence,CRDPREV,%,3.7,5.3,4.4,AK,11.0,733406.0,5.29,5.29
48,AK,Alaska,2,Chronic Obstructive Pulmonary Disease,COPD,2015,2015,OVERALL,OVR,prevalence of chronic obstructive pulmonary disease among adults >= 18,COPD2_0,Crude Prevalence,CRDPREV,%,3.2,5.1,4.0,AK,11.0,733406.0,5.29,5.29
49,AK,Alaska,2,Chronic Obstructive Pulmonary Disease,COPD,2016,2016,OVERALL,OVR,prevalence of chronic obstructive pulmonary disease among adults >= 18,COPD2_0,Crude Prevalence,CRDPREV,%,4.7,7.6,6.0,AK,11.0,733406.0,5.29,5.29
50,AK,Alaska,2,Chronic Obstructive Pulmonary Disease,COPD,2017,2017,OVERALL,OVR,prevalence of chronic obstructive pulmonary disease among adults >= 18,COPD2_0,Crude Prevalence,CRDPREV,%,4.3,7.3,5.6,AK,11.0,733406.0,5.29,5.29
51,AK,Alaska,2,Chronic Obstructive Pulmonary Disease,COPD,2018,2018,OVERALL,OVR,prevalence of chronic obstructive pulmonary disease among adults >= 18,COPD2_0,Crude Prevalence,CRDPREV,%,4.8,7.1,5.9,AK,11.0,733406.0,5.29,5.29
52,AK,Alaska,2,Chronic Obstructive Pulmonary Disease,COPD,2019,2019,OVERALL,OVR,prevalence of chronic obstructive pulmonary disease among adults >= 18,COPD2_0,Crude Prevalence,CRDPREV,%,3.7,5.6,4.6,AK,11.0,733406.0,5.29,5.29
53,AK,Alaska,2,Chronic Obstructive Pulmonary Disease,COPD,2020,2020,OVERALL,OVR,prevalence of chronic obstructive pulmonary disease among adults >= 18,COPD2_0,Crude Prevalence,CRDPREV,%,3.8,5.6,4.6,AK,11.0,733406.0,5.29,5.29
54,AK,Alaska,2,Chronic Obstructive Pulmonary Disease,COPD,2021,2021,OVERALL,OVR,prevalence of chronic obstructive pulmonary disease among adults >= 18,COPD2_0,Crude Prevalence,CRDPREV,%,4.9,6.6,5.7,AK,11.0,733406.0,5.29,5.29
55,AK,Alaska,2,Diabetes,DIA,2011,2011,OVERALL,OVR,prevalence of diagnosed diabetes among adults aged >= 18 years,DIA2_1,Crude Prevalence,CRDPREV,%,6.6,9.4,7.9,AK,11.0,733406.0,8.11,8.11
56,AK,Alaska,2,Diabetes,DIA,2012,2012,OVERALL,OVR,prevalence of diagnosed diabetes among adults aged >= 18 years,DIA2_1,Crude Prevalence,CRDPREV,%,6.0,8.1,7.0,AK,11.0,733406.0,8.11,8.11
57,AK,Alaska,2,Diabetes,DIA,2013,2013,OVERALL,OVR,prevalence of diagnosed diabetes among adults aged >= 18 years,DIA2_1,Crude Prevalence,CRDPREV,%,6.1,8.2,7.1,AK,11.0,733406.0,8.11,8.11
58,AK,Alaska,2,Diabetes,DIA,2014,2014,OVERALL,OVR,prevalence of diagnosed diabetes among adults aged >= 18 years,DIA2_1,Crude Prevalence,CRDPREV,%,6.5,8.5,7.4,AK,11.0,733406.0,8.11,8.11
59,AK,Alaska,2,Diabetes,DIA,2015,2015,OVERALL,OVR,prevalence of diagnosed diabetes among adults aged >= 18 years,DIA2_1,Crude Prevalence,CRDPREV,%,6.4,9.2,7.6,AK,11.0,733406.0,8.11,8.11
60,AK,Alaska,2,Diabetes,DIA,2016,2016,OVERALL,OVR,prevalence of diagnosed diabetes among adults aged >= 18 years,DIA2_1,Crude Prevalence,CRDPREV,%,6.1,9.0,7.5,AK,11.0,733406.0,8.11,8.11
61,AK,Alaska,2,Diabetes,DIA,2017,2017,OVERALL,OVR,prevalence of diagnosed diabetes among adults aged >= 18 years,DIA2_1,Crude Prevalence,CRDPREV,%,6.2,8.9,7.5,AK,11.0,733406.0,8.11,8.11
62,AK,Alaska,2,Diabetes,DIA,2018,2018,OVERALL,OVR,prevalence of diagnosed diabetes among adults aged >= 18 years,DIA2_1,Crude Prevalence,CRDPREV,%,7.4,10.3,8.8,AK,11.0,733406.0,8.11,8.11
63,AK,Alaska,2,Diabetes,DIA,2019,2019,OVERALL,OVR,prevalence of diagnosed diabetes among adults aged >= 18 years,DIA2_1,Crude Prevalence,CRDPREV,%,6.2,8.5,7.3,AK,11.0,733406.0,8.11,8.11
64,AK,Alaska,2,Diabetes,DIA,2020,2020,OVERALL,OVR,prevalence of diagnosed diabetes among adults aged >= 18 years,DIA2_1,Crude Prevalence,CRDPREV,%,6.5,9.0,7.6,AK,11.0,733406.0,8.11,8.11
65,AK,Alaska,2,Diabetes,DIA,2021,2021,OVERALL,OVR,prevalence of diagnosed diabetes among adults aged >= 18 years,DIA2_1,Crude Prevalence,CRDPREV,%,7.3,9.5,8.3,AK,11.0,733406.0,8.11,8.11
66,AK,Alaska,2,Disability,DIS,2010,2010,OVERALL,OVR,disability among adults aged >= 65 years,DIS1_0,Crude Prevalence,CRDPREV,%,36.0,42.4,39.2,AK,11.0,733406.0,,
67,AK,Alaska,2,Disability,DIS,2011,2011,OVERALL,OVR,disability among adults aged >= 65 years,DIS1_0,Crude Prevalence,CRDPREV,%,39.5,45.5,42.5,AK,11.0,733406.0,,
68,AK,Alaska,2,Disability,DIS,2012,2012,OVERALL,OVR,disability among adults aged >= 65 years,DIS1_0,Crude Prevalence,CRDPREV,%,37.7,42.5,40.1,AK,11.0,733406.0,,
69,AK,Alaska,2,Disability,DIS,2013,2013,OVERALL,OVR,disability among adults aged >= 65 years,DIS1_0,Crude Prevalence,CRDPREV,%,37.0,42.4,39.7,AK,11.0,733406.0,,
70,AK,Alaska,2,Disability,DIS,2014,2014,OVERALL,OVR,disability among adults aged >= 65 years,DIS1_0,Crude Prevalence,CRDPREV,%,38.7,43.5,41.1,AK,11.0,733406.0,,
71,AK,Alaska,2,Disability,DIS,2015,2015,OVERALL,OVR,disability among adults aged >= 65 years,DIS1_0,Crude Prevalence,CRDPREV,%,37.2,42.0,39.6,AK,11.0,733406.0,,
72,AK,Alaska,2,Disability,DIS,2016,2016,OVERALL,OVR,disability among adults aged >= 65 years,DIS1_0,Crude Prevalence,CRDPREV,%,36.6,42.6,39.6,AK,11.0,733406.0,,
73,AK,Alaska,2,Disability,DIS,2017,2017,OVERALL,OVR,disability among adults aged >= 65 years,DIS1_0,Crude Prevalence,CRDPREV,%,36.3,41.1,38.7,AK,11.0,733406.0,,
74,AK,Alaska,2,Disability,DIS,2018,2018,OVERALL,OVR,disability among adults aged >= 65 years,DIS1_0,Crude Prevalence,CRDPREV,%,34.6,40.2,37.4,AK,11.0,733406.0,,
75,AK,Alaska,2,Disability,DIS,2019,2019,OVERALL,OVR,disability among adults aged >= 65 years,DIS1_0,Crude Prevalence,CRDPREV,%,31.0,36.6,33.8,AK,11.0,733406.0,,
76,AK,Alaska,2,Mental Health,MTH,2011,2011,OVERALL,OVR,at least 14 recent mentally unhealthy days among women aged 18-44 years,MTH2_0,Crude Prevalence,CRDPREV,%,7.3,14.5,10.3,AK,11.0,733406.0,17.58,17.58
77,AK,Alaska,2,Mental Health,MTH,2012,2012,OVERALL,OVR,at least 14 recent mentally unhealthy days among women aged 18-44 years,MTH2_0,Crude Prevalence,CRDPREV,%,11.6,18.4,14.7,AK,11.0,733406.0,17.58,17.58
78,AK,Alaska,2,Mental Health,MTH,2013,2013,OVERALL,OVR,at least 14 recent mentally unhealthy days among women aged 18-44 years,MTH2_0,Crude Prevalence,CRDPREV,%,11.0,17.9,14.1,AK,11.0,733406.0,17.58,17.58
79,AK,Alaska,2,Mental Health,MTH,2014,2014,OVERALL,OVR,at least 14 recent mentally unhealthy days among women aged 18-44 years,MTH2_0,Crude Prevalence,CRDPREV,%,7.8,13.5,10.3,AK,11.0,733406.0,17.58,17.58
80,AK,Alaska,2,Mental Health,MTH,2015,2015,OVERALL,OVR,at least 14 recent mentally unhealthy days among women aged 18-44 years,MTH2_0,Crude Prevalence,CRDPREV,%,12.2,21.5,16.3,AK,11.0,733406.0,17.58,17.58
81,AK,Alaska,2,Mental Health,MTH,2016,2016,OVERALL,OVR,at least 14 recent mentally unhealthy days among women aged 18-44 years,MTH2_0,Crude Prevalence,CRDPREV,%,10.3,21.0,14.9,AK,11.0,733406.0,17.58,17.58
82,AK,Alaska,2,Mental Health,MTH,2017,2017,OVERALL,OVR,at least 14 recent mentally unhealthy days among women aged 18-44 years,MTH2_0,Crude Prevalence,CRDPREV,%,10.6,20.6,14.9,AK,11.0,733406.0,17.58,17.58
83,AK,Alaska,2,Mental Health,MTH,2018,2018,OVERALL,OVR,at least 14 recent mentally unhealthy days among women aged 18-44 years,MTH2_0,Crude Prevalence,CRDPREV,%,9.5,18.5,13.3,AK,11.0,733406.0,17.58,17.58
84,AK,Alaska,2,Mental Health,MTH,2019,2019,OVERALL,OVR,at least 14 recent mentally unhealthy days among women aged 18-44 years,MTH2_0,Crude Prevalence,CRDPREV,%,12.9,24.8,18.1,AK,11.0,733406.0,17.58,17.58
85,AK,Alaska,2,Mental Health,MTH,2020,2020,OVERALL,OVR,at least 14 recent mentally unhealthy days among women aged 18-44 years,MTH2_0,Crude Prevalence,CRDPREV,%,10.0,17.9,13.5,AK,11.0,733406.0,17.58,17.58
86,AK,Alaska,2,Mental Health,MTH,2021,2021,OVERALL,OVR,at least 14 recent mentally unhealthy days among women aged 18-44 years,MTH2_0,Crude Prevalence,CRDPREV,%,17.3,25.3,21.0,AK,11.0,733406.0,17.58,17.58
87,AK,Alaska,2,"Nutrition, Physical Activity, and Weight Status",NPAW,2011,2011,OVERALL,OVR,no leisure-time physical activity among adults aged >= 18 years,NPAW10_0,Crude Prevalence,CRDPREV,%,20.2,24.0,22.0,AK,11.0,733406.0,20.91,20.91
88,AK,Alaska,2,"Nutrition, Physical Activity, and Weight Status",NPAW,2011,2011,OVERALL,OVR,no leisure-time physical activity among adults aged >= 18 years,NPAW10_0,Crude Prevalence,CRDPREV,%,20.2,24.0,22.0,AK,11.0,733406.0,20.91,33.22
89,AK,Alaska,2,"Nutrition, Physical Activity, and Weight Status",NPAW,2011,2011,OVERALL,OVR,no leisure-time physical activity among adults aged >= 18 years,NPAW10_0,Crude Prevalence,CRDPREV,%,20.2,24.0,22.0,AK,11.0,733406.0,33.22,20.91
90,AK,Alaska,2,"Nutrition, Physical Activity, and Weight Status",NPAW,2011,2011,OVERALL,OVR,no leisure-time physical activity among adults aged >= 18 years,NPAW10_0,Crude Prevalence,CRDPREV,%,20.2,24.0,22.0,AK,11.0,733406.0,33.22,33.22
91,AK,Alaska,2,"Nutrition, Physical Activity, and Weight Status",NPAW,2011,2011,OVERALL,OVR,obesity among adults aged >= 18 years,NPAW1_1,Crude Prevalence,CRDPREV,%,25.3,29.7,27.4,AK,11.0,733406.0,20.91,20.91
92,AK,Alaska,2,"Nutrition, Physical Activity, and Weight Status",NPAW,2011,2011,OVERALL,OVR,obesity among adults aged >= 18 years,NPAW1_1,Crude Prevalence,CRDPREV,%,25.3,29.7,27.4,AK,11.0,733406.0,20.91,33.22
93,AK,Alaska,2,"Nutrition, Physical Activity, and Weight Status",NPAW,2011,2011,OVERALL,OVR,obesity among adults aged >= 18 years,NPAW1_1,Crude Prevalence,CRDPREV,%,25.3,29.7,27.4,AK,11.0,733406.0,33.22,20.91
94,AK,Alaska,2,"Nutrition, Physical Activity, and Weight Status",NPAW,2011,2011,OVERALL,OVR,obesity among adults aged >= 18 years,NPAW1_1,Crude Prevalence,CRDPREV,%,25.3,29.7,27.4,AK,11.0,733406.0,33.22,33.22
95,AK,Alaska,2,"Nutrition, Physical Activity, and Weight Status",NPAW,2012,2012,OVERALL,OVR,no leisure-time physical activity among adults aged >= 18 years,NPAW10_0,Crude Prevalence,CRDPREV,%,16.9,20.1,18.5,AK,11.0,733406.0,20.91,20.91
96,AK,Alaska,2,"Nutrition, Physical Activity, and Weight Status",NPAW,2012,2012,OVERALL,OVR,no leisure-time physical activity among adults aged >= 18 years,NPAW10_0,Crude Prevalence,CRDPREV,%,16.9,20.1,18.5,AK,11.0,733406.0,20.91,33.22
97,AK,Alaska,2,"Nutrition, Physical Activity, and Weight Status",NPAW,2012,2012,OVERALL,OVR,no leisure-time physical activity among adults aged >= 18 years,NPAW10_0,Crude Prevalence,CRDPREV,%,16.9,20.1,18.5,AK,11.0,733406.0,33.22,20.91
98,AK,Alaska,2,"Nutrition, Physical Activity, and Weight Status",NPAW,2012,2012,OVERALL,OVR,no leisure-time physical activity among adults aged >= 18 years,NPAW10_0,Crude Prevalence,CRDPREV,%,16.9,20.1,18.5,AK,11.0,733406.0,33.22,33.22
99,AK,Alaska,2,"Nutrition, Physical Activity, and Weight Status",NPAW,2012,2012,OVERALL,OVR,obesity among adults aged >= 18 years,NPAW1_1,Crude Prevalence,CRDPREV,%,23.9,27.5,25.7,AK,11.0,733406.0,20.91,20.91
100,AK,Alaska,2,"Nutrition, Physical Activity, and Weight Status",NPAW,2012,2012,OVERALL,OVR,obesity among adults aged >= 18 years,NPAW1_1,Crude Prevalence,CRDPREV,%,23.9,27.5,25.7,AK,11.0,733406.0,20.91,33.22
101,AK,Alaska,2,"Nutrition, Physical Activity, and Weight Status",NPAW,2012,2012,OVERALL,OVR,obesity among adults aged >= 18 years,NPAW1_1,Crude Prevalence,CRDPREV,%,23.9,27.5,25.7,AK,11.0,733406.0,33.22,20.91
102,AK,Alaska,2,"Nutrition, Physical Activity, and Weight Status",NPAW,2012,2012,OVERALL,OVR,obesity among adults aged >= 18 years,NPAW1_1,Crude Prevalence,CRDPREV,%,23.9,27.5,25.7,AK,11.0,733406.0,33.22,33.22
103,AK,Alaska,2,"Nutrition, Physical Activity, and Weight Status",NPAW,2013,2013,OVERALL,OVR,no leisure-time physical activity among adults aged >= 18 years,NPAW10_0,Crude Prevalence,CRDPREV,%,20.5,24.2,22.3,AK,11.0,733406.0,20.91,20.91
104,AK,Alaska,2,"Nutrition, Physical Activity, and Weight Status",NPAW,2013,2013,OVERALL,OVR,no leisure-time physical activity among adults aged >= 18 years,NPAW10_0,Crude Prevalence,CRDPREV,%,20.5,24.2,22.3,AK,11.0,733406.0,20.91,33.22
105,AK,Alaska,2,"Nutrition, Physical Activity, and Weight Status",NPAW,2013,2013,OVERALL,OVR,no leisure-time physical activity among adults aged >= 18 years,NPAW10_0,Crude Prevalence,CRDPREV,%,20.5,24.2,22.3,AK,11.0,733406.0,33.22,20.91
106,AK,Alaska,2,"Nutrition, Physical Activity, and Weight Status",NPAW,2013,2013,OVERALL,OVR,no leisure-time physical activity among adults aged >= 18 years,NPAW10_0,Crude Prevalence,CRDPREV,%,20.5,24.2,22.3,AK,11.0,733406.0,33.22,33.22
107,AK,Alaska,2,"Nutrition, Physical Activity, and Weight Status",NPAW,2013,2013,OVERALL,OVR,obesity among adults aged >= 18 years,NPAW1_1,Crude Prevalence,CRDPREV,%,26.5,30.4,28.4,AK,11.0,733406.0,20.91,20.91
108,AK,Alaska,2,"Nutrition, Physical Activity, and Weight Status",NPAW,2013,2013,OVERALL,OVR,obesity among adults aged >= 18 years,NPAW1_1,Crude Prevalence,CRDPREV,%,26.5,30.4,28.4,AK,11.0,733406.0,20.91,33.22
109,AK,Alaska,2,"Nutrition, Physical Activity, and Weight Status",NPAW,2013,2013,OVERALL,OVR,obesity among adults aged >= 18 years,NPAW1_1,Crude Prevalence,CRDPREV,%,26.5,30.4,28.4,AK,11.0,733406.0,33.22,20.91
110,AK,Alaska,2,"Nutrition, Physical Activity, and Weight Status",NPAW,2013,2013,OVERALL,OVR,obesity among adults aged >= 18 years,NPAW1_1,Crude Prevalence,CRDPREV,%,26.5,30.4,28.4,AK,11.0,733406.0,33.22,33.22
111,AK,Alaska,2,"Nutrition, Physical Activity, and Weight Status",NPAW,2014,2014,OVERALL,OVR,no leisure-time physical activity among adults aged >= 18 years,NPAW10_0,Crude Prevalence,CRDPREV,%,17.5,20.9,19.2,AK,11.0,733406.0,20.91,20.91
112,AK,Alaska,2,"Nutrition, Physical Activity, and Weight Status",NPAW,2014,2014,OVERALL,OVR,no leisure-time physical activity among adults aged >= 18 years,NPAW10_0,Crude Prevalence,CRDPREV,%,17.5,20.9,19.2,AK,11.0,733406.0,20.91,33.22
